(87, 32, 93, [1, 2, 3, 4, 0], [0, 16, 32, 48, -1], [16, 32, 48, 64, -1])
(88, 32, 159, [1, 2, 3, 4, 0], [0, 16, 32, 48, -1], [16, 32, 48, 64, -1])
(89, 32, 65, [1, 2, 3, 4, 0], [0, 16, 32, 48, -1], [16, 32, 48, 64, -1])
(90, 35, 250, [1, 2, 3, 4, 0], [0, 16, 32, 48, -1], [16, 32, 48, 64, -1])
(91, 32, 228, [1, 2, 3, 4, 0], [0, 16, 32, 48, -1], [16, 32, 48, 64, -1])
(92, 32, 61, [1, 2, 3, 4, 0], [0, 16, 32, 48, -1], [16, 32, 48, 64, -1])
(93, 32, 196, [1, 2, 3, 4, 0], [0, 16, 32, 48, -1], [16, 32, 48, 64, -1])
(94, 32, 186, [1, 2, 3, 4, 0], [0, 16, 32, 48, -1], [16, 32, 48, 64, -1])
(95, 32, 224, [1, 2, 3, 4, 0], [0, 16, 32, 48, -1], [16, 32, 48, 64, -1])
(96, 32, 56, [1, 2, 3, 4, 0], [0, 16, 32, 48, -1], [16, 32, 48, 64, -1])
(97, 256, 212, [1, 2, 3, 4, 0], [0, 16, 32, 48, -1], [16, 32, 48, 64, -1])
(98, 32, 205, [1, 2, 3, 4, 0], [0, 16, 32, 48, -1], [16, 32, 48, 64, -1])
(99, 91, 197, [1, 2, 3, 4, 0], [0, 16, 32, 48, -1], [16, 32, 48, 64, -1])
(100, 32, 150, [1, 2, 3, 4, 0], [0, 16, 32, 48, -1], [16, 32, 48, 64, -1])
(101, 110, 144, [1, 2, 3, 4, 0], [0, 16, 32, 48, -1], [16, 32, 48, 64, -1])
(102, 32, 79, [1, 2, 3, 4, 0], [0, 16, 32, 48, -1], [16, 32, 48, 64, -1])
(103, 49, 205, [1, 2, 3, 4, 0], [0, 16, 32, 48, -1], [16, 32, 48, 64, -1])
(104, 68, 99, [1, 2, 3, 4, 0], [0, 16, 32, 48, -1], [16, 32, 48, 64, -1])
(105, 32, 233, [1, 2, 3, 4, 0], [0, 16, 32, 48, -1], [16, 32, 48, 64, -1])
(106, 32, 172, [1, 2, 3, 4, 0], [0, 16, 32, 48, -1], [16, 32, 48, 64, -1])
(107, 32, 236, [1, 2, 3, 4, 0], [0, 16, 32, 48, -1], [16, 32, 48, 64, -1])
(108, 32, 65, [1, 2, 3, 4, 0], [0, 16, 32, 48, -1], [16, 32, 48, 64, -1])
(109, 32, 55, [1, 2, 3, 4, 0], [0, 16, 32, 48, -1], [16, 32, 48, 64, -1])
(110, 32, 158, [1, 2, 3, 4, 0], [0, 16, 32, 48, -1], [16, 32, 48, 64, -1])
(111, 32, 75, [1, 2, 3, 4, 0], [0, 16, 32, 48, -1], [16, 32, 48, 64, -1])
(112, 71, 116, [1, 2, 3, 4, 0], [0, 16, 32, 48, -1], [16, 32, 48, 64, -1])
(113, 32, 106, [1, 2, 3, 4, 0], [0, 16, 32, 48, -1], [16, 32, 48, 64, -1])
(114, 45, 215, [1, 2, 3, 4, 0], [0, 16, 32, 48, -1], [16, 32, 48, 64, -1])
(115, 256, 139, [1, 2, 3, 4, 0], [0, 16, 32, 48, -1], [16, 32, 48, 64, -1])
(116, 52, 96, [1, 2, 3, 4, 0], [0, 16, 32, 48, -1], [16, 32, 48, 64, -1])
(117, 32, 178, [1, 2, 3, 4, 0], [0, 16, 32, 48, -1], [16, 32, 48, 64, -1])
(118, 32, 60, [1, 2, 3, 4, 0], [0, 16, 32, 48, -1], [16, 32, 48, 64, -1])
(119, 37, 75, [1, 2, 3, 4, 0], [0, 16, 32, 48, -1], [16, 32, 48, 64, -1])
(120, 32, 150, [1, 2, 3, 4, 0], [0, 16, 32, 48, -1], [16, 32, 48, 64, -1])
(121, 52, 116, [1, 2, 3, 4, 0], [0, 16, 32, 48, -1], [16, 32, 48, 64, -1])
(122, 32, 237, [1, 2, 3, 4, 0], [0, 16, 32, 48, -1], [16, 32, 48, 64, -1])
(123, 32, 195, [1, 2, 3, 4, 0], [0, 16, 32, 48, -1], [16, 32, 48, 64, -1])
(124, 36, 228, [1, 2, 3, 4, 0], [0, 16, 32, 48, -1], [16, 32, 48, 64, -1])
(125, 33, 102, [1, 2, 3, 4, 0], [0, 16, 32, 48, -1], [16, 32, 48, 64, -1])
(126, 32, 64, [1, 2, 3, 4, 0], [0, 16, 32, 48, -1], [16, 32, 48, 64, -1])
(127, 32, 223, [1, 2, 3, 4, 0], [0, 16, 32, 48, -1], [16, 32, 48, 64, -1])
(128, 32, 91, [1, 2, 3, 4, 0], [0, 16, 32, 48, -1], [16, 32, 48, 64, -1])
(129, 32, 185, [1, 2, 3, 4, 0], [0, 16, 32, 48, -1], [16, 32, 48, 64, -1])
(130, 32, 80, [1, 2, 3, 4, 0], [0, 16, 32, 48, -1], [16, 32, 48, 64, -1])
(131, 32, 163, [1, 2, 3, 4, 0], [0, 16, 32, 48, -1], [16, 32, 48, 64, -1])
(132, 32, 94, [1, 2, 3, 4, 0], [0, 16, 32, 48, -1], [16, 32, 48, 64, -1])
(133, 32, 170, [1, 2, 3, 4, 0], [0, 16, 32, 48, -1], [16, 32, 48, 64, -1])
(134, 41, 154, [1, 2, 3, 4, 0], [0, 16, 32, 48, -1], [16, 32, 48, 64, -1])
