(9.261776685714722, 3, 'in', 'decode', 429, 1)
(9.261776685714722, 3, 'out', 'decode', 430, 1)
(9.277373790740967, 4, 'in', 'decode', 649, 1)
(9.277373790740967, 4, 'out', 'decode', 650, 1)
(9.292944192886353, 0, 'in', 'decode', 571, 1)
(9.292944192886353, 0, 'out', 'decode', 572, 1)
(9.308523893356323, 2, 'in', 'decode', 758, 1)
(9.308523893356323, 2, 'out', 'decode', 759, 1)
(9.323950052261353, 3, 'in', 'decode', 430, 1)
(9.323950052261353, 3, 'out', 'decode', 431, 1)
(9.339611053466797, 4, 'in', 'decode', 650, 1)
(9.339611053466797, 4, 'out', 'decode', 651, 1)
(9.355208158493042, 0, 'in', 'decode', 572, 1)
(9.355208158493042, 0, 'out', 'decode', 573, 1)
(9.370821237564087, 2, 'in', 'decode', 759, 1)
(9.370821237564087, 2, 'out', 'decode', 760, 1)
(9.386253833770752, 3, 'in', 'decode', 431, 1)
(9.386253833770752, 3, 'out', 'decode', 432, 1)
(9.401890277862549, 4, 'in', 'decode', 651, 1)
(9.401890277862549, 4, 'out', 'decode', 652, 1)
(9.41749620437622, 0, 'in', 'decode', 573, 1)
(9.41749620437622, 0, 'out', 'decode', 574, 1)
(9.433112382888794, 2, 'in', 'decode', 760, 1)
(9.433112382888794, 2, 'out', 'decode', 761, 1)
(9.448524236679077, 3, 'in', 'decode', 432, 1)
(9.448524236679077, 3, 'out', 'decode', 433, 1)
(9.46419620513916, 4, 'in', 'decode', 652, 1)
(9.46419620513916, 4, 'out', 'decode', 653, 1)
(9.47977352142334, 0, 'in', 'decode', 574, 1)
(9.47977352142334, 0, 'out', 'decode', 575, 1)
(9.495354413986206, 2, 'in', 'decode', 761, 1)
(9.495354413986206, 2, 'out', 'decode', 762, 1)
(9.510743618011475, 3, 'in', 'decode', 433, 1)
(9.510743618011475, 3, 'out', 'decode', 434, 1)
(9.526314496994019, 4, 'in', 'decode', 653, 1)
(9.526314496994019, 4, 'out', 'decode', 654, 1)
(9.54190468788147, 0, 'in', 'decode', 575, 1)
(9.54190468788147, 0, 'out', 'decode', 576, 1)
(9.557491064071655, 2, 'in', 'decode', 762, 1)
(9.557491064071655, 2, 'out', 'decode', 763, 1)
(9.572947025299072, 3, 'in', 'decode', 434, 1)
(9.572947025299072, 3, 'out', 'decode', 435, 1)
(9.588536262512207, 4, 'in', 'decode', 654, 1)
(9.588536262512207, 4, 'out', 'decode', 655, 1)
(9.604128360748291, 0, 'in', 'decode', 576, 1)
(9.604128360748291, 0, 'out', 'decode', 577, 1)
(9.619693756103516, 2, 'in', 'decode', 763, 1)
(9.619693756103516, 2, 'out', 'decode', 764, 1)
(9.635110139846802, 3, 'in', 'decode', 435, 1)
(9.635110139846802, 3, 'out', 'decode', 436, 1)
(9.65079116821289, 4, 'in', 'decode', 655, 1)
(9.65079116821289, 4, 'out', 'decode', 656, 1)
(9.66637897491455, 0, 'in', 'decode', 577, 1)
(9.66637897491455, 0, 'out', 'decode', 578, 1)
(9.681093454360962, 5, 'out', 'prompt', 0, 557)
(9.681981086730957, 2, 'in', 'decode', 764, 1)
(9.681981086730957, 2, 'out', 'decode', 765, 1)
(9.69744348526001, 3, 'in', 'decode', 436, 1)
(9.69744348526001, 3, 'out', 'decode', 437, 1)
(9.71307921409607, 4, 'in', 'decode', 656, 1)
(9.71307921409607, 4, 'out', 'decode', 657, 1)
(9.728635787963867, 0, 'in', 'decode', 578, 1)
(9.728635787963867, 0, 'out', 'decode', 579, 1)
(10.066220045089722, 5, 'in', 'prompt', 0, 557)
(10.066220045089722, 5, 'out', 'decode', 557, 1)
(10.083219289779663, 0, 'in', 'decode', 579, 1)
(10.083219289779663, 0, 'out', 'decode', 580, 1)
(10.083219289779663, 2, 'in', 'decode', 765, 1)
(10.083219289779663, 2, 'out', 'decode', 766, 1)
(10.083381414413452, 3, 'in', 'decode', 437, 1)
(10.083381414413452, 3, 'out', 'decode', 438, 1)
(10.083381414413452, 4, 'in', 'decode', 657, 1)
(10.083381414413452, 4, 'out', 'decode', 658, 1)
(10.128300905227661, 5, 'in', 'decode', 557, 1)
(10.128300905227661, 5, 'out', 'decode', 558, 1)
(10.1452054977417, 0, 'in', 'decode', 580, 1)
(10.1452054977417, 0, 'out', 'decode', 581, 1)
(10.160794734954834, 2, 'in', 'decode', 766, 1)
(10.160794734954834, 2, 'out', 'decode', 767, 1)
(10.177258491516113, 3, 'in', 'decode', 438, 1)
(10.177258491516113, 3, 'out', 'decode', 439, 1)
(10.177387475967407, 4, 'in', 'decode', 658, 1)
(10.177387475967407, 4, 'out', 'decode', 659, 1)
(10.192969560623169, 5, 'in', 'decode', 558, 1)
(10.192969560623169, 5, 'out', 'decode', 559, 1)
(10.20860767364502, 0, 'in', 'decode', 581, 1)
(10.20860767364502, 0, 'out', 'decode', 582, 1)
(10.224322319030762, 2, 'in', 'decode', 767, 1)
(10.224322319030762, 2, 'out', 'decode', 768, 1)
(10.239742279052734, 3, 'in', 'decode', 439, 1)
(10.239742279052734, 3, 'out', 'decode', 440, 1)
(10.255352020263672, 4, 'in', 'decode', 659, 1)
(10.255352020263672, 4, 'out', 'decode', 660, 1)
(10.270922183990479, 5, 'in', 'decode', 559, 1)
(10.270922183990479, 5, 'out', 'decode', 560, 1)
(10.28650426864624, 0, 'in', 'decode', 582, 1)
(10.28650426864624, 0, 'out', 'decode', 583, 1)
(10.302103519439697, 2, 'in', 'decode', 768, 1)
(10.302103519439697, 2, 'out', 'decode', 769, 1)
(10.317516088485718, 3, 'in', 'decode', 440, 1)
(10.317516088485718, 3, 'out', 'decode', 441, 1)
(10.333123445510864, 4, 'in', 'decode', 660, 1)
(10.333123445510864, 4, 'out', 'decode', 661, 1)
(10.348724126815796, 5, 'in', 'decode', 560, 1)
(10.348724126815796, 5, 'out', 'decode', 561, 1)
(10.364315748214722, 0, 'in', 'decode', 583, 1)
(10.364315748214722, 0, 'out', 'decode', 584, 1)
(10.379934787750244, 2, 'in', 'decode', 769, 1)
(10.379934787750244, 2, 'out', 'decode', 770, 1)
(10.39534330368042, 3, 'in', 'decode', 441, 1)
(10.39534330368042, 3, 'out', 'decode', 442, 1)
(10.410946607589722, 4, 'in', 'decode', 661, 1)
(10.410946607589722, 4, 'out', 'decode', 662, 1)
(10.426524639129639, 5, 'in', 'decode', 561, 1)
(10.426524639129639, 5, 'out', 'decode', 562, 1)
(10.442089319229126, 0, 'in', 'decode', 584, 1)
(10.442089319229126, 0, 'out', 'decode', 585, 1)
(10.457749128341675, 2, 'in', 'decode', 770, 1)
(10.457749128341675, 2, 'out', 'decode', 771, 1)
(10.473182201385498, 3, 'in', 'decode', 442, 1)
(10.473182201385498, 3, 'out', 'decode', 443, 1)
(10.489611864089966, 4, 'in', 'decode', 662, 1)
(10.489611864089966, 4, 'out', 'decode', 663, 1)
(10.4896821975708, 5, 'in', 'decode', 562, 1)
(10.4896821975708, 5, 'out', 'decode', 563, 1)
(10.505258083343506, 0, 'in', 'decode', 585, 1)
(10.505258083343506, 0, 'out', 'decode', 586, 1)
(10.520842552185059, 2, 'in', 'decode', 771, 1)
(10.520842552185059, 2, 'out', 'decode', 772, 1)
(10.536258459091187, 3, 'in', 'decode', 443, 1)
(10.536258459091187, 3, 'out', 'decode', 444, 1)
(10.552764415740967, 4, 'in', 'decode', 663, 1)
(10.552764415740967, 4, 'out', 'decode', 664, 1)
(10.552839994430542, 5, 'in', 'decode', 563, 1)
(10.552839994430542, 5, 'out', 'decode', 564, 1)
(10.568368911743164, 0, 'in', 'decode', 586, 1)
(10.568368911743164, 0, 'out', 'decode', 587, 1)
(10.583927392959595, 2, 'in', 'decode', 772, 1)
(10.583927392959595, 2, 'out', 'decode', 773, 1)
(10.599368810653687, 3, 'in', 'decode', 444, 1)
(10.599368810653687, 3, 'out', 'decode', 445, 1)
(10.6161789894104, 4, 'in', 'decode', 664, 1)
(10.6161789894104, 4, 'out', 'decode', 665, 1)
(10.616245746612549, 5, 'in', 'decode', 564, 1)
(10.616245746612549, 5, 'out', 'decode', 565, 1)
